SHOP_WEEK;SHOP_DATE;SHOP_WEEKDAY;SHOP_HOUR;QUANTITY;PROD_CODE;PROD_CODE_10;PROD_CODE_20;PROD_CODE_30;PROD_CODE_40;CUST_CODE;seg_1;seg_2;BASKET_ID;BASKET_SIZE;BASKET_PRICE_SENSITIVITY;BASKET_DOMINANT_MISSION;STORE_CODE;STORE_FORMAT;STORE_REGION;SPEND;BASKET_TYPE;SHOP_HOUR_GROUP
200632;2006-10-08;Sunday;17;1;PRD0900157;CL00140;DEP00049;G00014;D00003;CUST0000555017;CT;BU;994102600514583;S;UM;Grocery;STORE02447;LS;E02;1,32;Small Shop;Evening
200734;2007-10-15;Monday;21;1;PRD0904861;CL00101;DEP00034;G00010;D00003;CUST0000884382;CT;BU;994108000731443;L;LA;Mixed;STORE00782;SS;N01;0,52;Top Up;Night
200620;2006-07-15;Saturday;10;1;PRD0902844;CL00103;DEP00035;G00010;D00003;CUST0000711170;AZ;FN;994101400618976;S;LA;Grocery;STORE00741;MS;S02;0,19;Small Shop;Afternoon
200728;2007-09-04;Tuesday;16;1;PRD0902924;CL00160;DEP00054;G00016;D00003;CUST0000146983;AZ;DI;994107400268280;M;MM;Grocery;STORE01265;SS;E03;1,0;Small Shop;Evening
200638;2006-11-13;Monday;15;1;PRD0902453;CL00160;DEP00054;G00016;D00003;CUST0000718898;AZ;BU;994103200618426;S;UM;Fresh;STORE02786;SS;E03;0,28;Small Shop;Evening
200807;2008-04-11;Friday;15;1;PRD0901780;CL00159;DEP00054;G00016;D00003;CUST0000562101;CT;EQ;994110500532241;M;LA;Fresh;STORE01007;XLS;W01;0,93;Top Up;Evening
200712;2007-05-18;Friday;9;6;PRD0903331;CL00103;DEP00035;G00010;D00003;CUST0000174280;CT;AT;994105800280061;L;UM;Mixed;STORE01923;LS;E01;2,82;Full Shop;Afternoon
200750;2008-02-09;Saturday;8;1;PRD0903569;CL00079;DEP00022;G00007;D00002;CUST0000362752;CT;EQ;994109600395590;L;MM;Fresh;STORE02395;MS;W03;2,18;Top Up;Afternoon
200727;2007-08-31;Friday;12;1;PRD0900270;CL00202;DEP00067;G00021;D00005;CUST0000805554;CT;DI;994107300698583;M;UM;Nonfood;STORE00159;SS;S03;1,0;Small Shop;Afternoon
200724;2007-08-09;Thursday;10;1;PRD0903573;CL00090;DEP00026;G00008;D00002;CUST0000367019;AZ;CZ;994107000413731;L;LA;Fresh;STORE00729;XLS;W03;3,1;Top Up;Afternoon
200639;2006-11-22;Wednesday;8;1;PRD0904431;CL00160;DEP00054;G00016;D00003;CUST0000689700;BG;DI;994103300603349;S;MM;Grocery;STORE02291;LS;N01;0,28;Small Shop;Afternoon
200752;2008-02-20;Wednesday;18;1;PRD0900705;CL00088;DEP00025;G00008;D00002;CUST0000298969;BG;EQ;994109800362734;L;MM;Fresh;STORE00223;LS;N01;1,06;Full Shop;Evening
200617;2006-06-19;Monday;13;1;PRD0903620;CL00044;DEP00011;G00004;D00002;CUST0000053535;CT;FN;994101100198794;L;MM;Mixed;STORE01243;LS;S01;0,47;Full Shop;Evening
200626;2006-08-24;Thursday;13;1;PRD0901490;CL00073;DEP00021;G00007;D00002;CUST0000860814;CT;EQ;994102000701256;L;MM;Fresh;STORE02674;LS;W01;1,05;Full Shop;Evening
200706;2007-04-04;Wednesday;18;3;PRD0900592;CL00152;DEP00052;G00015;D00003;;;;994105200126868;M;UM;Mixed;STORE01184;LS;W01;1,92;Small Shop;Evening
200634;2006-10-22;Sunday;18;1;PRD0902314;CL00153;DEP00052;G00015;D00003;CUST0000947832;CT;BU;994102800753964;M;MM;Fresh;STORE01651;LS;S01;0,33;Top Up;Evening
200626;2006-08-22;Tuesday;18;1;PRD0904803;CL00160;DEP00054;G00016;D00003;CUST0000036118;CT;;994102000186724;L;MM;Grocery;STORE00251;SS;S03;0,18;Full Shop;Evening
200702;2007-03-06;Tuesday;16;1;PRD0901228;CL00078;DEP00022;G00007;D00002;CUST0000165121;CT;AT;994104800264707;L;MM;Mixed;STORE02493;LS;E02;0,72;Top Up;Evening
200635;2006-10-23;Monday;16;1;PRD0904055;CL00138;DEP00048;G00013;D00003;CUST0000898213;BG;EQ;994102900712256;L;UM;Fresh;STORE01441;LS;E03;1,06;Full Shop;Evening
200651;2007-02-14;Wednesday;15;1;PRD0901665;CL00102;DEP00034;G00010;D00003;CUST0000161918;AZ;BU;994104500268545;L;LA;Mixed;STORE00729;XLS;W03;0,97;Full Shop;Evening
200638;2006-11-19;Sunday;16;1;PRD0900743;CL00227;DEP00079;G00025;D00006;CUST0000075597;CT;BU;994103200206473;M;LA;Fresh;STORE01856;MS;N03;1,51;Small Shop;Evening
200733;2007-10-08;Monday;17;1;PRD0903908;CL00219;DEP00073;G00023;D00005;CUST0000969344;AZ;BU;994107900790275;M;MM;Mixed;STORE00729;XLS;W03;0,35;Top Up;Evening
200812;2008-05-13;Tuesday;16;4;PRD0900202;CL00002;DEP00001;G00001;D00001;;;;994111000031342;L;MM;Fresh;STORE01948;LS;E03;5,48;Full Shop;Evening
200615;2006-06-11;Sunday;20;1;PRD0901147;CL00155;DEP00053;G00016;D00003;CUST0000711459;AZ;DI;994100900633931;L;LA;Fresh;STORE01469;XLS;N01;1,07;Full Shop;Night
200713;2007-05-25;Friday;12;1;PRD0903228;CL00138;DEP00048;G00013;D00003;CUST0000610561;AZ;FN;994105900575649;L;MM;Fresh;STORE01217;LS;S01;0,89;Top Up;Afternoon
200724;2007-08-08;Wednesday;14;1;PRD0900958;CL00079;DEP00022;G00007;D00002;CUST0000442020;CT;BU;994107000461350;S;MM;Fresh;STORE02818;LS;E01;2,01;Small Shop;Evening
200716;2007-06-13;Wednesday;17;1;PRD0904774;CL00064;DEP00019;G00007;D00002;CUST0000581248;BG;AT;994106200553078;L;UM;Fresh;STORE00288;LS;S03;2,49;Full Shop;Evening
200630;2006-09-18;Monday;13;10;PRD0903678;CL00222;DEP00076;G00023;D00005;CUST0000159909;AZ;;994102400267977;L;LA;Fresh;STORE01812;LS;N01;0,1;Top Up;Evening
200742;2007-12-10;Monday;15;8;PRD0904237;CL00154;DEP00052;G00015;D00003;CUST0000871730;BG;;994108800734450;M;MM;Grocery;STORE00001;LS;E02;24,72;Small Shop;Evening
200631;2006-09-28;Thursday;15;1;PRD0901977;CL00198;DEP00067;G00021;D00005;;;;994102500145103;L;LA;Fresh;STORE01854;LS;W03;1,42;Top Up;Evening
200648;2007-01-23;Tuesday;15;1;PRD0902540;CL00044;DEP00011;G00004;D00002;CUST0000967027;BG;BU;994104200768167;L;UM;Fresh;STORE01037;LS;N01;0,31;Full Shop;Evening
200643;2006-12-21;Thursday;21;3;PRD0900266;CL00091;DEP00026;G00008;D00002;CUST0000304760;AZ;CZ;994103700422093;L;LA;Mixed;STORE01348;LS;N02;5,37;Full Shop;Night
200625;2006-08-17;Thursday;13;1;PRD0901672;CL00104;DEP00036;G00010;D00003;CUST0000487112;BG;CZ;994101900471365;L;UM;Mixed;STORE00003;LS;E01;0,53;Full Shop;Evening
200812;2008-05-17;Saturday;17;1;PRD0904358;CL00063;DEP00019;G00007;D00002;;;;994111000157268;L;UM;Fresh;STORE00307;MS;W02;1,54;Full Shop;Evening
200620;2006-07-14;Friday;13;1;PRD0901406;CL00103;DEP00035;G00010;D00003;CUST0000215906;CT;;994101400308339;L;MM;Fresh;STORE01198;LS;N02;0,3;Top Up;Evening
200631;2006-09-28;Thursday;19;1;PRD0903321;CL00020;DEP00005;G00003;D00001;CUST0000905244;BG;CZ;994102500742430;L;MM;Fresh;STORE00028;LS;N02;0,86;Top Up;Night
200717;2007-06-23;Saturday;17;4;PRD0902213;CL00160;DEP00054;G00016;D00003;CUST0000629646;CT;FN;994106300579143;M;LA;Mixed;STORE00960;MS;W01;7,48;Small Shop;Evening
200806;2008-04-05;Saturday;11;1;PRD0901583;CL00067;DEP00019;G00007;D00002;CUST0000766777;AZ;DI;994110400603934;M;UM;Fresh;STORE00931;LS;N02;2,12;Top Up;Afternoon
200813;2008-05-19;Monday;16;1;PRD0904973;CL00105;DEP00036;G00010;D00003;CUST0000183232;AZ;DI;994111100287269;L;LA;Mixed;STORE01864;LS;E03;0,72;Full Shop;Evening
200640;2006-12-03;Sunday;21;1;PRD0900786;CL00142;DEP00050;G00014;D00003;CUST0000611301;AZ;;994103400556559;L;LA;Grocery;STORE00562;MS;E01;1,88;Full Shop;Night
200706;2007-04-05;Thursday;15;1;PRD0900008;CL00042;DEP00011;G00004;D00002;CUST0000555917;BG;;994105200518923;M;UM;Mixed;STORE01707;LS;S03;1,77;Top Up;Evening
200801;2008-03-01;Saturday;20;1;PRD0904976;CL00040;DEP00010;G00004;D00002;CUST0000032346;BG;DI;994109900181156;L;UM;Fresh;STORE01758;XLS;S01;1,49;Top Up;Night
200731;2007-09-25;Tuesday;14;1;PRD0904401;CL00070;DEP00020;G00007;D00002;CUST0000986370;CT;BU;994107700817211;L;MM;Fresh;STORE00278;LS;S02;2,91;Full Shop;Evening
200811;2008-05-10;Saturday;14;1;PRD0904928;CL00100;DEP00033;G00009;D00002;CUST0000278171;BG;AT;994110900347794;L;UM;Mixed;STORE01124;LS;E03;3,85;Top Up;Evening
200703;2007-03-14;Wednesday;14;1;PRD0903812;CL00218;DEP00073;G00023;D00005;CUST0000968542;CT;CZ;994104900807973;M;LA;Fresh;STORE00307;MS;W02;0,33;Small Shop;Evening
200803;2008-03-11;Tuesday;12;1;PRD0902898;CL00037;DEP00010;G00004;D00002;;;;994110100092521;L;MM;Fresh;STORE02410;LS;N01;1,56;Top Up;Afternoon
200638;2006-11-19;Sunday;17;1;PRD0901228;CL00078;DEP00022;G00007;D00002;CUST0000877712;AZ;DI;994103200720267;L;MM;Mixed;STORE01329;MS;W02;0,72;Full Shop;Evening
200727;2007-09-01;Saturday;12;1;PRD0904311;CL00079;DEP00022;G00007;D00002;CUST0000052853;CT;BU;994107300206363;M;MM;Fresh;STORE01016;LS;E01;1,37;Small Shop;Afternoon
200636;2006-11-05;Sunday;14;1;PRD0901945;CL00089;DEP00025;G00008;D00002;CUST0000078710;BG;FN;994103000215166;M;LA;Fresh;STORE00934;LS;S03;1,22;Small Shop;Evening
200641;2006-12-04;Monday;13;1;PRD0903052;CL00031;DEP00008;G00004;D00002;CUST0000114987;BG;EQ;994103500228493;M;UM;Fresh;STORE00235;MS;E02;0,2;Top Up;Evening
200619;2006-07-03;Monday;18;3;PRD0902692;CL00201;DEP00067;G00021;D00005;;;;994101300136715;L;LA;Fresh;STORE01342;LS;N02;4,05;Full Shop;Evening
200636;2006-11-01;Wednesday;21;1;PRD0902704;CL00129;DEP00046;G00013;D00003;;;;994103000040559;L;MM;Fresh;STORE01792;LS;W01;0,46;Full Shop;Night
200818;2008-06-26;Thursday;17;7;PRD0902201;CL00070;DEP00020;G00007;D00002;;;;994111600020777;L;MM;Mixed;STORE00587;LS;E02;2,66;Full Shop;Evening
200611;2006-05-13;Saturday;13;1;PRD0903728;CL00201;DEP00067;G00021;D00005;CUST0000815111;CT;DI;994100500659775;L;MM;Fresh;STORE02138;LS;E03;3,6;Full Shop;Evening
200622;2006-07-26;Wednesday;21;3;PRD0902318;CL00164;DEP00055;G00016;D00003;CUST0000610013;CT;;994101600565314;M;LA;Grocery;STORE02410;LS;N01;1,08;Small Shop;Night
200612;2006-05-16;Tuesday;20;1;PRD0900679;CL00041;DEP00011;G00004;D00002;CUST0000532401;BG;;994100600492763;L;MM;Fresh;STORE01029;LS;W02;2,39;Full Shop;Night
200632;2006-10-03;Tuesday;21;1;PRD0901850;CL00162;DEP00055;G00016;D00003;CUST0000712354;AZ;BU;994102600614829;L;MM;Mixed;STORE02818;LS;E01;0,88;Full Shop;Night
200701;2007-02-26;Monday;8;1;PRD0903389;CL00070;DEP00020;G00007;D00002;CUST0000137477;BG;DI;994104700248484;L;MM;Fresh;STORE00773;LS;W02;2,6;Top Up;Afternoon
200728;2007-09-08;Saturday;16;1;PRD0903497;CL00023;DEP00008;G00004;D00002;;;;994107400025482;M;UM;Fresh;STORE00741;MS;S02;1,28;Top Up;Evening
200629;2006-09-11;Monday;21;1;PRD0904248;CL00079;DEP00022;G00007;D00002;CUST0000774189;CT;BU;994102300652383;M;MM;Fresh;STORE00288;LS;S03;1,19;Small Shop;Night
200744;2007-12-29;Saturday;18;3;PRD0904792;CL00065;DEP00019;G00007;D00002;;;;994109000115865;L;MM;Fresh;STORE02451;XLS;S03;2,34;Top Up;Evening
200742;2007-12-14;Friday;16;1;PRD0902728;CL00038;DEP00010;G00004;D00002;CUST0000849087;AZ;BU;994108800719504;M;LA;Fresh;STORE00753;MS;N01;0,4;Small Shop;Evening
200727;2007-08-28;Tuesday;21;6;PRD0903270;CL00110;DEP00039;G00010;D00003;CUST0000764316;AZ;EQ;994107300671497;L;LA;Fresh;STORE00476;LS;E02;0,42;Top Up;Night
200803;2008-03-15;Saturday;11;1;PRD0902017;CL00197;DEP00067;G00021;D00005;CUST0000166295;BG;DI;994110100278782;L;MM;Fresh;STORE01812;LS;N01;0,24;Top Up;Afternoon
200724;2007-08-11;Saturday;14;1;PRD0901928;CL00006;DEP00002;G00001;D00001;CUST0000508003;CT;DI;994107000503857;L;MM;Mixed;STORE00829;XLS;S03;1,16;Top Up;Evening
200815;2008-06-05;Thursday;16;3;PRD0903057;CL00063;DEP00019;G00007;D00002;CUST0000920606;CT;BU;994111300768000;L;UM;Fresh;STORE00989;MS;N03;2,67;Top Up;Evening
200719;2007-07-07;Saturday;14;3;PRD0901422;CL00037;DEP00010;G00004;D00002;CUST0000586533;BG;BU;994106500560661;L;UM;Fresh;STORE01490;LS;E01;1,17;Top Up;Evening
200642;2006-12-17;Sunday;10;1;PRD0900302;CL00037;DEP00010;G00004;D00002;CUST0000308697;AZ;FN;994103600358475;M;LA;Mixed;STORE01091;SS;E02;1,47;Top Up;Afternoon
200620;2006-07-11;Tuesday;15;1;PRD0902005;CL00038;DEP00010;G00004;D00002;CUST0000279332;AZ;BU;994101400348206;L;LA;Grocery;STORE01533;MS;S02;0,51;Top Up;Evening
200707;2007-04-15;Sunday;16;5;PRD0903378;CL00063;DEP00019;G00007;D00002;CUST0000193673;BG;BU;994105300289899;L;UM;Fresh;STORE00076;LS;N02;8,5;Full Shop;Evening
200652;2007-02-20;Tuesday;13;1;PRD0901007;CL00073;DEP00021;G00007;D00002;CUST0000831007;AZ;AT;994104600691869;L;LA;Mixed;STORE02863;LS;S02;1,49;Top Up;Evening
200709;2007-04-23;Monday;13;1;PRD0900456;CL00046;DEP00012;G00004;D00002;CUST0000982523;AZ;AT;994105500807291;L;MM;Fresh;STORE02339;XLS;E02;0,88;Full Shop;Evening
200621;2006-07-21;Friday;8;1;PRD0904962;CL00078;DEP00022;G00007;D00002;CUST0000803713;AZ;AT;994101500703892;L;LA;Fresh;STORE00793;LS;N03;2,09;Top Up;Afternoon
200638;2006-11-15;Wednesday;21;1;PRD0904780;CL00031;DEP00008;G00004;D00002;;;;994103200131575;L;LA;Mixed;STORE00107;LS;N01;1,67;Top Up;Night
200807;2008-04-11;Friday;10;1;PRD0903648;CL00001;DEP00001;G00001;D00001;CUST0000226597;CT;DI;994110500314918;L;MM;Mixed;STORE01681;SS;E03;1,01;Full Shop;Afternoon
200723;2007-08-01;Wednesday;12;1;PRD0900390;CL00164;DEP00055;G00016;D00003;CUST0000945172;CT;FN;994106900792684;M;UM;Mixed;STORE02410;LS;N01;0,3;Top Up;Afternoon
200607;2006-04-10;Monday;18;1;PRD0904421;CL00002;DEP00001;G00001;D00001;;;;994100000000000;M;MM;Mixed;STORE00933;XLS;N02;0,97;Top Up;Evening
200721;2007-07-19;Thursday;21;1;PRD0901741;CL00214;DEP00071;G00022;D00005;CUST0000050699;CT;;994106700207323;L;MM;Mixed;STORE02474;LS;W01;1,61;Full Shop;Night
200618;2006-06-30;Friday;9;1;PRD0903313;CL00201;DEP00067;G00021;D00005;CUST0000503903;AZ;;994101200488916;L;MM;Mixed;STORE00113;LS;S02;4,41;Top Up;Afternoon
200719;2007-07-05;Thursday;21;1;PRD0900300;CL00005;DEP00002;G00001;D00001;CUST0000938136;CT;BU;994106500794400;L;MM;Fresh;STORE02026;LS;W01;0,35;Full Shop;Night
200725;2007-08-15;Wednesday;8;1;PRD0903788;CL00001;DEP00001;G00001;D00001;CUST0000162992;CT;BU;994107100277931;S;LA;Fresh;STORE02357;LS;W02;0,75;Small Shop;Afternoon
200736;2007-10-29;Monday;13;3;PRD0904933;CL00150;DEP00052;G00015;D00003;;;;994108200147876;L;LA;Mixed;STORE01386;LS;E01;9,81;Top Up;Evening
